1000, 17903
2000, 16820
3000, 16064
4000, 15789
5000, 15221
6000, 14876
7000, 14750
8000, 14598
9000, 14480
10000, 14440
11000, 14483
12000, 14503
13000, 14486
14000, 14549
15000, 14507
16000, 14492
17000, 14469
18000, 14327
19000, 14457
20000, 14483
21000, 14275
22000, 14338
23000, 14474
24000, 14532
25000, 14441
26000, 14208
27000, 14175
28000, 14339
29000, 14131
30000, 14345
31000, 14581
32000, 14622
33000, 14472
34000, 14345
35000, 14466
36000, 14400
37000, 14129
38000, 13926
39000, 14114
40000, 14412
41000, 14263
42000, 14443
43000, 14550
44000, 14654
45000, 14409
46000, 14827
47000, 14509
48000, 14428
49000, 14470
50000, 14425
51000, 14312
52000, 14401
53000, 14417
54000, 14278
55000, 14356
56000, 14436
57000, 14636
58000, 14661
59000, 14699
60000, 14674
61000, 14700
62000, 14699
63000, 14407
64000, 14471
65000, 14368
66000, 14486
67000, 14330
68000, 14343
69000, 14324
70000, 14560
71000, 14486
72000, 14375
73000, 14383
74000, 14317
75000, 14386
76000, 14487
77000, 14505
78000, 14562
79000, 14356
80000, 14404
81000, 14368
82000, 14386
83000, 14316
84000, 14312
85000, 14361
86000, 14342
87000, 14374
88000, 14357
89000, 14242
90000, 14474
91000, 14407
92000, 14547
93000, 14471
94000, 14332
95000, 14227
96000, 14090
97000, 14105
98000, 14135
99000, 14210
